2026-09-06 04:24:27.656 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 04:24:28.658 | INFO     | amisim.application | 1.00/1.00s | - -> This is a test log message.
2026-09-06 04:24:29.662 | INFO     | amisim.application | 1.00/2.01s | - -> Version: 0.1.0
2026-09-06 04:24:29.666 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via settings_reader: False
2026-09-06 04:24:29.669 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via ini runtime access: False
2026-09-06 04:24:29.671 | INFO     | amisim.application | 0.00/2.02s | - -> Debug via ini runtime access: False
2026-09-06 04:26:36.317 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 04:26:37.320 | INFO     | amisim.application | 1.00/1.00s | - -> This is a test log message.
2026-09-06 04:26:38.324 | INFO     | amisim.application | 1.00/2.01s | - -> Version: 0.1.0
2026-09-06 04:26:38.328 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via settings_reader: False
2026-09-06 04:26:38.332 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via ini runtime access: False
2026-09-06 04:26:38.335 | INFO     | amisim.application | 0.00/2.02s | - -> Debug via ini runtime access: False
2026-09-06 04:26:48.828 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 04:26:49.830 | INFO     | amisim.application | 1.00/1.00s | - -> This is a test log message.
2026-09-06 04:26:50.834 | INFO     | amisim.application | 1.00/2.01s | - -> Version: 0.1.0
2026-09-06 04:26:50.838 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via settings_reader: False
2026-09-06 04:26:50.842 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via ini runtime access: False
2026-09-06 04:26:50.844 | INFO     | amisim.application | 0.00/2.02s | - -> Debug via ini runtime access: False
2026-09-06 04:29:25.460 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 04:29:26.463 | INFO     | amisim.application | 1.00/1.00s | - -> This is a test log message.
2026-09-06 04:29:27.467 | INFO     | amisim.application | 1.00/2.01s | - -> Version: 0.1.0
2026-09-06 04:29:27.470 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via settings_reader: False
2026-09-06 04:29:27.473 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via ini runtime access: False
2026-09-06 04:29:27.476 | INFO     | amisim.application | 0.00/2.02s | - -> Debug via ini runtime access: False
2026-09-06 04:32:19.684 | INFO     | amisim.application | 0.00/0.00s | - -> Settings loaded
2026-09-06 04:32:20.686 | INFO     | amisim.application | 1.00/1.00s | - -> This is a test log message.
2026-09-06 04:32:21.690 | INFO     | amisim.application | 1.00/2.01s | - -> Version: 0.1.0
2026-09-06 04:32:21.694 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via settings_reader: False
2026-09-06 04:32:21.698 | INFO     | amisim.application | 0.00/2.01s | - -> Debug via ini runtime access: False
2026-09-06 04:32:21.701 | INFO     | amisim.application | 0.00/2.02s | - -> Debug via ini runtime access: False
