global_t_start,global_t_end,interval,real_time_start,real_time_end,iteration,current_time_start,current_time_end,rgap_time,tot_tt,tot_tt_current,tot_domand,tot_vehicles,cpu_time,total_paths,unique_paths,k_paths
420,540,0,420,540,0,420,540,,7168404.466988919,7168404.466988919,233685.5304809737,8039,29.146660804748535,25088,3136,1
420,540,0,420,540,1,420,540,,7653949.080576944,7168404.466988919,233685.53048097395,8855,58.42577362060547,50176,13739,2
420,540,0,420,540,2,420,540,7.370977781914881,5315582.150097683,914343.4948678224,233685.53048097136,6623,89.40601778030396,75264,24727,3
420,540,0,420,540,3,420,540,0.4707238360790543,2960320.4740871666,3614262.5962118153,233685.53048097412,5224,109.47139620780945,75264,24727,3
420,540,0,420,540,4,420,540,0.9875548249736612,2841601.3425051845,1489428.3352039843,233685.53048097464,4326,129.35681581497192,75264,24727,3
